label,threshold
admiration,0.45
amusement,0.5
anger,0.3
annoyance,0.3
approval,0.25
caring,0.4
confusion,0.45
curiosity,0.3
desire,0.3
disappointment,0.2
disapproval,0.25
disgust,0.3
embarrassment,0.25
excitement,0.2
fear,0.35
gratitude,0.4
grief,0.15
joy,0.2
love,0.25
nervousness,0.2
neutral,0.25
optimism,0.3
pride,0.3
realization,0.25
relief,0.1
remorse,0.5
sadness,0.25
surprise,0.4
